Wavenumber,Absorbance
3998,0.00121
3996.07144,0.00124
3994.14287,0.00126
3992.21431,0.00126
3990.28574,0.00125
3988.35718,0.00124
3986.42861,0.00123
3984,0.00124
3982.07144,0.00124
3980.14287,0.00123
3978.21431,0.00123
3976.28574,0.00123
3974.35718,0.00124
3972.42861,0.00123
3971,0.00122
3969.07144,0.00122
3967.14287,0.00122
3965.21431,0.00121
3963.28574,0.00121
3961.35718,0.00124
3959.42861,0.00128
3957,0.0013
3955.07144,0.00129
3953.14287,0.00128
3951.21431,0.00128
3949.28574,0.00127
3947.35718,0.00126
3945.42861,0.00125
3944,0.00127
3942.07144,0.00128
3940.14287,0.00127
3938.21431,0.00126
3936.28574,0.00125
3934.35718,0.00125
3932.42861,0.00124
3930,0.00124
3928.07144,0.00124
3926.14287,0.00125
3924.21431,0.00127
3922.28574,0.00129
3920.35718,0.00127
3918.42861,0.00125
3917,0.00124
3915.07144,0.00124
3913.14287,0.00125
3911.21431,0.00126
3909.28574,0.00127
3907.35718,0.00126
3905.42861,0.00124
3903,0.00124
3901.07144,0.00125
3899.14287,0.00125
3897.21431,0.00123
3895.28574,0.00123
3893.35718,0.00123
3891.42861,0.00122
3890,0.00123
3888.07144,0.00123
3886.14287,0.00122
3884.21431,0.00121
3882.28574,0.00122
3880.35718,0.00123
3878.42861,0.00124
3876,0.00126
3874.07144,0.00126
3872.14287,0.00124
3870.21431,0.00121
3868.28574,0.0012
3866.35718,0.00121
3864.42861,0.00122
3863,0.00121
3861.07144,0.00122
3859.14287,0.00124
3857.21431,0.00123
3855.28574,0.0012
3853.35718,0.00117
3851.42861,0.00117
3849,0.00119
3847.07144,0.0012
3845.14287,0.00121
3843.21431,0.00121
3841.28574,0.0012
3839.35718,0.0012
3837.42861,0.00121
3836,0.00122
3834.07144,0.00123
3832.14287,0.00124
3830.21431,0.00123
3828.28574,0.00122
3826.35718,0.00121
3824.42861,0.00122
3822,0.00123
3820.07144,0.00123
3818.14287,0.00122
3816.21431,0.00122
3814.28574,0.00124
3812.35718,0.00127
3810.42861,0.00126
3809,0.00125
3807.07144,0.00125
3805.14287,0.00125
3803.21431,0.00123
3801.28574,0.00121
3799.35718,0.00121
3797.42861,0.00123
3795,0.00124
3793.07144,0.00127
3791.14287,0.00128
3789.21431,0.00127
3787.28574,0.00124
3785.35718,0.00122
3783.42861,0.00122
3782,0.00122
3780.07144,0.00122
3778.14287,0.00121
3776.21431,0.00122
3774.28574,0.00123
3772.35718,0.00124
3770.42861,0.00125
3768,0.00125
3766.07144,0.00126
3764.14287,0.00127
