Wavenumber,Absorbance
3998,0.00149
3996.07144,0.00149
3994.14287,0.00148
3992.21431,0.00148
3990.28574,0.00148
3988.35718,0.00147
3986.42861,0.00148
3984,0.00149
3982.07144,0.00149
3980.14287,0.00147
3978.21431,0.00147
3976.28574,0.00148
3974.35718,0.00149
3972.42861,0.00151
3971,0.00152
3969.07144,0.00151
3967.14287,0.0015
3965.21431,0.00149
3963.28574,0.00149
3961.35718,0.00149
3959.42861,0.00149
3957,0.00148
3955.07144,0.00146
3953.14287,0.00145
3951.21431,0.00146
3949.28574,0.00147
3947.35718,0.00147
3945.42861,0.00146
3944,0.00145
3942.07144,0.00146
3940.14287,0.00146
3938.21431,0.00145
3936.28574,0.00144
3934.35718,0.00143
3932.42861,0.00143
3930,0.00143
3928.07144,0.00144
3926.14287,0.00145
3924.21431,0.00146
3922.28574,0.00146
3920.35718,0.00146
3918.42861,0.00146
3917,0.00146
3915.07144,0.00145
3913.14287,0.00144
3911.21431,0.00143
3909.28574,0.00144
3907.35718,0.00144
3905.42861,0.00144
3903,0.00145
3901.07144,0.00145
3899.14287,0.00145
3897.21431,0.00144
3895.28574,0.00145
3893.35718,0.00145
3891.42861,0.00144
3890,0.00145
3888.07144,0.00147
3886.14287,0.00147
3884.21431,0.00146
3882.28574,0.00146
3880.35718,0.00147
3878.42861,0.00147
3876,0.00148
3874.07144,0.00148
3872.14287,0.00148
3870.21431,0.00148
3868.28574,0.00148
3866.35718,0.00146
3864.42861,0.00144
3863,0.00144
3861.07144,0.00144
3859.14287,0.00145
3857.21431,0.00145
3855.28574,0.00145
3853.35718,0.00146
3851.42861,0.00147
3849,0.00149
3847.07144,0.0015
3845.14287,0.0015
3843.21431,0.0015
3841.28574,0.00149
3839.35718,0.00146
3837.42861,0.00146
3836,0.00148
3834.07144,0.00148
3832.14287,0.00146
3830.21431,0.00146
3828.28574,0.00146
3826.35718,0.00145
3824.42861,0.00142
3822,0.00141
3820.07144,0.00143
3818.14287,0.00143
3816.21431,0.00142
3814.28574,0.00142
3812.35718,0.00143
3810.42861,0.00145
3809,0.00146
3807.07144,0.00148
3805.14287,0.00148
3803.21431,0.00149
3801.28574,0.00149
3799.35718,0.00147
3797.42861,0.00147
3795,0.00148
3793.07144,0.00149
3791.14287,0.00147
3789.21431,0.00146
3787.28574,0.00146
3785.35718,0.00146
